Basin,Year,net_area_km2,net_area_unc_km2,extinction_year_est
Tambillo,1989,1.397657199718822,0.0,2071.256590069569
Tambillo,1990,1.3855128687256513,0.0,2071.256590069569
Tambillo,1991,1.373368537732481,0.0,2071.256590069569
Tambillo,1992,1.36122420673931,0.0,2071.256590069569
Tambillo,1993,1.3490798757461393,0.0,2071.256590069569
Tambillo,1994,1.3369355447529685,0.0,2071.256590069569
Tambillo,1995,1.324791213759798,0.0,2071.256590069569
Tambillo,1996,1.312646882766627,0.0,2071.256590069569
Tambillo,1997,1.3005025517734563,0.0,2071.256590069569
Tambillo,1998,1.2883582207802855,0.0,2071.256590069569
Tambillo,1999,1.2762138897871151,0.0,2071.256590069569
Tambillo,2000,1.2693893800402014,0.0,2071.256590069569
Tambillo,2001,1.2994566741532818,0.0,2071.256590069569
Tambillo,2002,1.313681330987175,0.0,2071.256590069569
Tambillo,2003,1.2959588514894778,0.0,2071.256590069569
Tambillo,2004,1.2577831494305791,0.0,2071.256590069569
Tambillo,2005,1.1501157755372795,0.0,2071.256590069569
Tambillo,2006,1.3063232227402937,0.0,2071.256590069569
Tambillo,2007,1.167720513912427,0.0,2071.256590069569
Tambillo,2008,1.1473769768398072,0.0,2071.256590069569
Tambillo,2009,1.1270334397671875,0.0,2071.256590069569
Tambillo,2010,1.106689902694568,0.0,2071.256590069569
Tambillo,2011,1.0848316583732085,0.0,2071.256590069569
Tambillo,2012,1.0629174731591398,0.0,2071.256590069569
Tambillo,2013,1.041003287945071,0.0,2071.256590069569
Tambillo,2014,1.0193603516131533,0.0,2071.256590069569
Tambillo,2015,1.009821896647266,0.0,2071.256590069569
Tambillo,2016,0.9733261109041288,0.0,2071.256590069569
Tambillo,2017,0.9145880676830004,0.0,2071.256590069569
Tambillo,2018,0.921558101094924,0.0,2071.256590069569
Tambillo,2019,0.9404753357597594,0.0,2071.256590069569
Tambillo,2020,0.9735221373959884,0.0,2071.256590069569
Tambillo,2021,0.9404230911550628,0.0,2071.256590069569
Tambillo,2022,0.929874709732946,0.0,2071.256590069569
Tambillo,2023,0.9779574294806832,0.0,2071.256590069569
Tambillo,2024,0.8948129087191803,0.0,2071.256590069569
